"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Nutri/Coarse Cereals","Punjab","Total","1.11","0.99","1.00","0.92","0.95","4.30","4.30","3.81","3.90","3.98","3857.00","4344.00","3801.00","4232.00","4185.00"
"Nutri/Coarse Cereals","Rajasthan","Kharif","52.99","61.26","56.32","59.68","58.37","62.35","77.23","69.03","79.81","76.05","1177.00","1261.00","1226.00","1337.00","1303.00"
"Nutri/Coarse Cereals","Rajasthan","Rabi","2.16","3.47","3.01","3.66","","8.01","12.12","11.43","14.23","","3703.00","3496.00","3791.00","3882.00",""
"Nutri/Coarse Cereals","Rajasthan","Summer","","0.27","0.31","0.30","","","0.43","0.46","0.48","","","1590.00","1470.00","1598.00",""
"Nutri/Coarse Cereals","Rajasthan","Total","55.15","65.00","59.64","63.65","58.37","70.36","89.78","80.91","94.52","76.05","1276.00","1381.00","1357.00","1485.00","1303.00"
"Nutri/Coarse Cereals","Sikkim","Kharif","0.40","0.38","0.31","0.31","","0.70","0.67","0.55","0.55","","1736.00","1781.00","1750.00","1750.00",""
"Nutri/Coarse Cereals","Sikkim","Rabi","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","0.00","1175.00","1181.00","1181.00",""
"Nutri/Coarse Cereals","Sikkim","Total","0.40","0.38","0.32","0.32","","0.70","0.68","0.55","0.55","","1736.00","1777.00","1745.00","1745.00",""
"Nutri/Coarse Cereals","Tamil Nadu","Kharif","5.44","5.06","5.26","5.09","4.49","22.23","21.90","22.85","19.49","19.88","4087.00","4330.00","4349.00","3830.00","4424.00"
"Nutri/Coarse Cereals","Tamil Nadu","Rabi","4.11","3.70","3.75","4.38","","13.69","12.85","10.94","14.84","","3334.00","3474.00","2917.00","3385.00",""
"Nutri/Coarse Cereals","Tamil Nadu","Summer","","0.41","0.50","0.16","","","1.45","1.36","0.36","","","3568.00","2703.00","2242.00",""
"Nutri/Coarse Cereals","Tamil Nadu","Total","9.55","9.16","9.51","9.64","4.49","35.92","36.20","35.15","34.69","19.88","3763.00","3950.00","3697.00","3601.00","4424.00"
"Nutri/Coarse Cereals","Telangana","Kharif","3.09","2.71","2.33","2.38","2.67","13.33","11.66","9.66","10.44","11.66","4314.00","4303.00","4147.00","4391.00","4368.00"
"Nutri/Coarse Cereals","Telangana","Rabi","1.77","3.17","3.71","5.16","","10.16","18.28","20.68","27.41","","5739.00","5767.00","5574.00","5312.00",""
"Nutri/Coarse Cereals","Telangana","Total","4.86","5.88","6.04","7.54","2.67","23.49","29.94","30.34","37.85","11.66","4833.00","5092.00","5024.00","5021.00","4368.00"
"Nutri/Coarse Cereals","Tripura","Kharif","0.16","0.12","0.12","0.12","","0.28","0.23","0.23","0.19","","1738.00","1880.00","1880.00","1643.00",""
"Nutri/Coarse Cereals","Tripura","Rabi","0.05","0.04","0.04","0.04","","0.13","0.13","0.13","0.12","","2637.00","3505.00","3505.00","3215.00",""
"Nutri/Coarse Cereals","Tripura","Total","0.21","0.16","0.16","0.15","","0.42","0.35","0.35","0.31","","1951.00","2247.00","2248.00","2024.00",""
"Nutri/Coarse Cereals","Uttar Pradesh","Kharif","17.74","19.87","21.87","14.30","17.75","36.93","41.52","45.30","28.48","35.79","2082.00","2089.00","2071.00","1992.00","2017.00"
"Nutri/Coarse Cereals","Uttar Pradesh","Rabi","2.21","2.03","1.85","2.07","","6.55","6.20","5.16","5.77","","2962.00","3056.00","2787.00","2786.00",""
"Nutri/Coarse Cereals","Uttar Pradesh","Summer","","0.49","2.50","4.53","","","1.41","7.95","13.80","","","2878.00","3178.00","3047.00",""
"Nutri/Coarse Cereals","Uttar Pradesh","Total","19.95","22.39","26.22","20.90","17.75","43.47","49.13","58.40","48.06","35.79","2179.00","2194.00","2227.00","2299.00","2017.00"
"Nutri/Coarse Cereals","Uttarakhand","Kharif","1.54","1.32","1.26","1.22","1.07","2.53","2.15","2.08","2.04","1.72","1640.00","1627.00","1652.00","1663.00","1609.00"
"Nutri/Coarse Cereals","Uttarakhand","Rabi","0.20","0.20","0.18","0.14","","0.29","0.28","0.25","0.21","","1464.00","1421.00","1368.00","1472.00",""
"Nutri/Coarse Cereals","Uttarakhand","Summer","","0.00","0.00","0.01","","","0.01","0.01","0.03","","","3000.00","3220.00","3022.00",""
"Nutri/Coarse Cereals","Uttarakhand","Total","1.74","1.52","1.45","1.38","1.07","2.82","2.44","2.35","2.28","1.72","1620.00","1603.00","1620.00","1654.00","1609.00"
"Nutri/Coarse Cereals","West Bengal","Kharif","0.59","0.58","0.58","0.40","0.34","1.66","1.96","2.07","1.60","1.32","2822.00","3391.00","3591.00","3985.00","3858.00"
"Nutri/Coarse Cereals","West Bengal","Rabi","3.10","1.67","2.00","2.05","","23.67","10.45","13.77","14.52","","7649.00","6244.00","6869.00","7079.00",""
"Nutri/Coarse Cereals","West Bengal","Summer","","1.43","1.42","1.66","","","10.41","10.28","12.29","","","7300.00","7239.00","7400.00",""
"Nutri/Coarse Cereals","West Bengal","Total","3.68","3.68","4.00","4.11","0.34","25.33","22.82","26.11","28.42","1.32","6877.00","6206.00","6529.00","6906.00","3858.00"
"Nutri/Coarse Cereals","Others","Kharif","","","","","5.32","","","","","9.76","","","","","1834.00"
"Nutri/Coarse Cereals","Others","Total","","","","","5.32","","","","","9.76","","","","","1834.00"
"Nutri/Coarse Cereals","All India","Kharif","177.39","181.99","182.79","184.44","191.10","361.28","375.78","355.35","389.56","414.14","2037.00","2065.00","1944.00","2112.00","2167.00"
"Nutri/Coarse Cereals","All India","Rabi","49.61","49.48","54.63","59.05","","149.73","159.25","169.16","198.60","","3018.00","3218.00","3097.00","3363.00",""
"Nutri/Coarse Cereals","All India","Summer","","9.24","11.96","14.05","","","38.17","44.85","51.05","","","4133.00","3750.00","3632.00",""
"Nutri/Coarse Cereals","All India","Total","227.00","240.70","249.38","257.55","191.10","511.01","573.19","569.36","639.21","414.14","2251.00","2381.00","2283.00","2482.00","2167.00"
"Cereals","Andaman And Nicobar Islands","Kharif","0.06","0.05","0.05","0.04","","0.13","0.11","0.10","0.09","","2137.00","2107.00","2101.00","2060.00",""
"Cereals","Andaman And Nicobar Islands","Rabi","0.00","","","0.00","","0.00","","","0.00","","0.00","","","2229.00",""
"Cereals","Andaman And Nicobar Islands","Total","0.06","0.05","0.05","0.04","","0.13","0.11","0.10","0.09","","2137.00","2107.00","2101.00","2060.00",""
"Cereals","Andhra Pradesh","Kharif","17.16","16.55","15.55","16.33","16.82","48.69","56.34","53.54","58.06","59.93","2837.00","3404.00","3443.00","3556.00","3563.00"
"Cereals","Andhra Pradesh","Rabi","10.67","9.89","8.24","9.38","","51.53","54.31","42.29","49.11","","4829.00","5491.00","5135.00","5235.00",""
"Cereals","Andhra Pradesh","Summer","","0.04","0.03","0.04","","","0.08","0.06","0.09","","","2027.00","2108.00","2241.00",""
"Cereals","Andhra Pradesh","Total","27.83","26.48","23.81","25.75","16.82","100.22","110.73","95.90","107.26","59.93","3601.00","4182.00","4027.00","4165.00","3563.00"
"Cereals","Arunachal Pradesh","Kharif","2.06","2.08","2.09","2.10","","3.46","3.49","3.51","3.53","","1678.00","1683.00","1683.00","1684.00",""
"Cereals","Arunachal Pradesh","Rabi","0.16","0.16","0.15","0.14","","0.28","0.28","0.27","0.25","","1767.00","1769.00","1769.00","1758.00",""
"Cereals","Arunachal Pradesh","Total","2.22","2.23","2.24","2.24","","3.74","3.77","3.77","3.78","","1685.00","1689.00","1688.00","1688.00",""
"Cereals","Assam","Kharif","20.31","20.01","19.68","18.62","18.46","37.11","47.16","45.96","38.81","40.46","1827.00","2357.00","2335.00","2084.00","2192.00"
"Cereals","Assam","Rabi","3.79","0.09","0.71","0.76","","8.56","0.12","3.32","3.73","","2256.00","1322.00","4653.00","4908.00",""
"Cereals","Assam","Summer","","3.75","3.78","3.82","","","11.06","11.64","11.42","","","2949.00","3080.00","2986.00",""
"Cereals","Assam","Total","24.10","23.85","24.17","23.21","18.46","45.67","58.33","60.92","53.96","40.46","1895.00","2446.00","2520.00","2325.00","2192.00"
"Cereals","Bihar","Kharif","32.20","29.97","32.74","33.86","34.31","78.16","73.25","83.23","87.22","87.90","2427.00","2444.00","2542.00","2576.00","2562.00"
"Cereals","Bihar","Rabi","27.89","26.16","28.43","28.44","","88.14","94.34","112.35","112.74","","3161.00","3606.00","3952.00","3964.00",""
"Cereals","Bihar","Summer","","2.12","2.41","2.12","","","11.70","12.45","9.87","","","5526.00","5156.00","4664.00",""
"Cereals","Bihar","Total","60.08","58.25","63.58","64.41","34.31","166.30","179.29","208.02","209.82","87.90","2768.00","3078.00","3272.00","3258.00","2562.00"
"Cereals","Chandigarh","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","5240.00","3843.00","4768.00","3596.00",""
"Cereals","Chandigarh","Rabi","0.01","0.01","0.01","0.01","","0.03","0.03","0.03","0.03","","5000.00","4696.00","5000.00","5000.00",""
"Cereals","Chandigarh","Total","0.01","0.01","0.01","0.01","","0.03","0.03","0.03","0.03","","5034.00","4579.00","4966.00","4794.00",""
"Cereals","Chhattisgarh","Kharif","39.46","39.39","39.76","40.50","37.87","84.44","102.28","100.73","107.48","93.33","2140.00","2597.00","2534.00","2654.00","2465.00"
"Cereals","Chhattisgarh","Rabi","1.57","1.34","1.35","1.47","","1.93","1.90","1.82","2.35","","1226.00","1424.00","1349.00","1596.00",""
"Cereals","Chhattisgarh","Total","41.04","40.72","41.10","41.97","37.87","86.37","104.19","102.54","109.83","93.33","2105.00","2558.00","2495.00","2617.00","2465.00"
"Cereals","Dadra And Nagar Haveli","Kharif","0.17","0.19","0.19","0.17","","0.34","0.38","0.38","0.35","","2049.00","2039.00","2036.00","2033.00",""
"Cereals","Dadra And Nagar Haveli","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Cereals","Dadra And Nagar Haveli","Total","0.17","0.19","0.19","0.17","","0.34","0.38","0.38","0.35","","2049.00","2039.00","2036.00","2033.00",""
"Cereals","Daman And Diu","Kharif","0.02","","","","","0.04","","","","","1832.00","","","",""
"Cereals","Daman And Diu","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Cereals","Daman And Diu","Total","0.02","","","","","0.04","","","","","1832.00","","","",""
"Cereals","Delhi","Kharif","0.10","0.10","0.10","0.10","","0.26","0.25","0.25","0.26","","2464.00","2483.00","2483.00","2468.00",""
"Cereals","Delhi","Rabi","0.18","0.17","0.17","0.17","","0.82","0.81","0.80","0.80","","4499.00","4648.00","4650.00","4645.00",""
"Cereals","Delhi","Total","0.29","0.27","0.27","0.28","","1.07","1.06","1.05","1.06","","3757.00","3854.00","3861.00","3831.00",""
"Cereals","Goa","Kharif","0.23","0.23","0.23","0.24","","0.66","0.63","0.68","0.52","","2816.00","2789.00","2890.00","2171.00",""
"Cereals","Goa","Rabi","0.09","0.09","0.09","0.09","","0.25","0.25","0.27","0.25","","2742.00","2842.00","2983.00","2832.00",""
"Cereals","Goa","Total","0.32","0.32","0.32","0.33","","0.90","0.88","0.95","0.77","","2795.00","2804.00","2916.00","2348.00",""
"Cereals","Gujarat","Kharif","16.09","13.76","13.94","13.83","12.67","36.21","30.91","31.18","28.90","28.93","2251.00","2246.00","2236.00","2089.00","2283.00"
"Cereals","Gujarat","Rabi","12.24","11.85","13.85","14.30","","38.08","37.75","41.39","42.48","","3110.00","3185.00","2988.00","2972.00",""
"Cereals","Gujarat","Summer","","4.04","4.25","4.65","","","12.15","12.40","13.16","","","3005.00","2916.00","2831.00",""
"Cereals","Gujarat","Total","28.33","29.66","32.05","32.78","12.67","74.30","80.82","84.98","84.54","28.93","2622.00","2725.00","2652.00","2579.00","2283.00"
"Cereals","Haryana","Kharif","17.92","20.78","21.15","22.06","22.58","57.66","63.39","71.65","73.62","77.36","3217.00","3051.00","3387.00","3337.00","3426.00"
"Cereals","Haryana","Rabi","23.08","23.36","23.82","24.04","","104.58","109.75","112.37","114.58","","4531.00","4698.00","4718.00","4766.00",""
"Cereals","Haryana","Total","41.00","44.14","44.97","46.10","22.58","162.24","173.14","184.02","188.20","77.36","3957.00","3923.00","4092.00","4083.00","3426.00"
"Cereals","Himachal Pradesh","Kharif","3.33","3.26","3.26","3.33","3.33","9.51","8.11","7.83","8.37","8.22","2860.00","2488.00","2402.00","2516.00","2471.00"
"Cereals","Himachal Pradesh","Rabi","3.38","3.37","3.34","3.24","","5.80","6.19","8.16","6.79","","1715.00","1839.00","2445.00","2098.00",""
"Cereals","Himachal Pradesh","Total","6.71","6.63","6.59","6.57","3.33","15.31","14.30","15.99","15.17","8.22","2283.00","2158.00","2424.00","2310.00","2471.00"
"Cereals","Jammu And Kashmir","Kharif","5.72","5.69","5.66","5.66","","10.80","11.62","12.39","12.39","","1888.00","2042.00","2190.00","2189.00",""
"Cereals","Jammu And Kashmir","Rabi","2.90","2.91","2.91","2.91","","5.89","5.91","5.91","5.91","","2031.00","2029.00","2029.00","2029.00",""
"Cereals","Jammu And Kashmir","Total","8.62","8.60","8.57","8.57","","16.69","17.53","18.30","18.30","","1936.00","2038.00","2135.00","2135.00",""
"Cereals","Jharkhand","Kharif","17.38","10.82","13.92","17.86","19.33","35.55","19.16","20.92","34.95","36.54","2045.00","1771.00","1503.00","1957.00","1891.00"
"Cereals","Jharkhand","Rabi","2.40","2.35","2.38","2.65","","5.48","4.89","5.02","5.84","","2287.00","2077.00","2108.00","2206.00",""
"Cereals","Jharkhand","Total","19.78","13.17","16.30","20.50","19.33","41.03","24.05","25.94","40.78","36.54","2074.00","1826.00","1591.00","1989.00","1891.00"
"Cereals","Karnataka","Kharif","35.04","35.14","36.41","36.28","35.58","90.83","92.14","89.05","97.73","96.80","2592.00","2622.00","2446.00","2694.00","2721.00"
"Cereals","Karnataka","Rabi","12.89","10.26","11.25","10.12","","27.22","20.54","18.84","18.83","","2112.00","2002.00","1675.00","1860.00",""
"Cereals","Karnataka","Summer","","3.73","0.96","3.15","","","11.56","3.19","10.88","","","3099.00","3321.00","3455.00",""
"Cereals","Karnataka","Total","47.93","49.13","48.62","49.55","35.58","118.05","124.24","111.08","127.44","96.80","2463.00","2529.00","2285.00","2572.00","2721.00"
"Cereals","Kerala","Kharif","1.51","0.51","0.46","0.42","0.37","3.42","1.37","1.17","1.10","1.06","2273.00","2713.00","2558.00","2646.00","2896.00"
"Cereals","Kerala","Rabi","0.46","0.71","0.73","0.69","","1.46","2.25","1.96","2.09","","3188.00","3149.00","2701.00","3045.00",""
"Cereals","Kerala","Summer","","0.70","0.63","0.66","","","2.34","1.87","1.97","","","3349.00","2938.00","2966.00",""
"Cereals","Kerala","Total","1.96","1.92","1.82","1.77","0.37","4.88","5.96","5.00","5.17","1.06","2486.00","3107.00","2748.00","2921.00","2896.00"
"Cereals","Ladakh","Kharif","0.00","","","0.00","","0.00","","","0.00","","0.00","","","735.00",""
"Cereals","Ladakh","Rabi","0.14","0.15","0.15","0.14","","0.29","0.24","0.24","0.28","","2016.00","1649.00","1649.00","1934.00",""
"Cereals","Ladakh","Total","0.14","0.15","0.15","0.15","","0.29","0.24","0.24","0.28","","2016.00","1649.00","1649.00","1907.00",""
"Cereals","Lakshadweep","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Cereals","Lakshadweep","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Cereals","Lakshadweep","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Cereals","Madhya Pradesh","Kharif","40.64","54.67","55.85","63.90","73.93","106.04","128.96","126.87","158.24","183.27","2609.00","2359.00","2272.00","2476.00","2479.00"
"Cereals","Madhya Pradesh","Rabi","65.16","71.74","75.16","80.48","","230.10","227.69","226.14","255.44","","3531.00","3174.00","3009.00","3174.00",""
"Cereals","Madhya Pradesh","Summer","","","0.53","0.06","","","","1.93","0.26","","","","3646.00","4287.00",""
"Cereals","Madhya Pradesh","Total","105.80","126.41","131.54","144.44","73.93","336.14","356.65","354.94","413.93","183.27","3177.00","2821.00","2698.00","2866.00","2479.00"
"Cereals","Maharashtra","Kharif","33.78","31.09","30.41","32.67","33.78","63.90","68.53","53.57","75.46","84.33","1892.00","2204.00","1762.00","2310.00","2497.00"
"Cereals","Maharashtra","Rabi","31.14","29.72","29.94","31.58","","52.42","46.89","45.38","51.79","","1684.00","1578.00","1516.00","1640.00",""
"Cereals","Maharashtra","Summer","","2.36","3.02","3.24","","","5.49","6.06","7.08","","","2326.00","2005.00","2187.00",""
"Cereals","Maharashtra","Total","64.92","63.17","63.38","67.49","33.78","116.33","120.91","105.01","134.33","84.33","1792.00","1914.00","1657.00","1991.00","2497.00"
"Cereals","Manipur","Kharif","0.21","0.06","0.06","1.72","","0.51","0.18","0.17","4.00","","2459.00","3091.00","2970.00","2330.00",""
"Cereals","Manipur","Rabi","2.04","0.10","0.09","0.09","","5.73","0.23","0.22","0.20","","2807.00","2338.00","2295.00","2195.00",""
"Cereals","Manipur","Summer","","1.99","1.81","0.15","","","3.71","3.69","0.56","","","1867.00","2035.00","3780.00",""
"Cereals","Manipur","Total","2.25","2.14","1.96","1.96","","6.24","4.12","4.07","4.77","","2776.00","1922.00","2074.00","2432.00",""
"Cereals","Meghalaya","Kharif","1.16","1.18","1.18","1.18","","2.79","2.69","2.55","2.69","","2405.00","2285.00","2161.00","2285.00",""
"Cereals","Meghalaya","Rabi","0.14","0.13","0.13","0.13","","0.64","0.57","0.57","0.57","","4538.00","4509.00","4509.00","4509.00",""
"Cereals","Meghalaya","Total","1.30","1.31","1.31","1.31","","3.43","3.27","3.12","3.27","","2636.00","2502.00","2390.00","2502.00",""
"Cereals","Mizoram","Kharif","0.41","0.45","0.30","0.25","","0.70","0.57","0.48","0.42","","1737.00","1273.00","1604.00","1720.00",""
"Cereals","Mizoram","Rabi","0.01","0.01","0.01","0.01","","0.02","0.02","0.02","0.02","","1748.00","1762.00","2113.00","2334.00",""
"Cereals","Mizoram","Total","0.42","0.46","0.31","0.26","","0.72","0.59","0.51","0.45","","1737.00","1284.00","1622.00","1745.00",""
"Cereals","Nagaland","Kharif","1.70","2.60","2.65","2.54","","2.19","4.56","4.62","4.39","","1292.00","1756.00","1743.00","1728.00",""
"Cereals","Nagaland","Rabi","0.02","0.10","0.09","0.07","","0.04","0.19","0.18","0.13","","1768.00","1968.00","1969.00","1955.00",""
"Cereals","Nagaland","Total","1.72","2.69","2.74","2.61","","2.23","4.75","4.80","4.53","","1299.00","1764.00","1751.00","1734.00",""
"Cereals","Odisha","Kharif","38.48","39.03","38.99","35.98","37.79","84.97","74.01","76.62","84.46","88.22","2208.00","1896.00","1965.00","2347.00","2334.00"
"Cereals","Odisha","Rabi","3.03","0.00","0.00","0.00","","11.47","0.00","0.00","0.01","","3782.00","1548.00","1894.00","1796.00",""
"Cereals","Odisha","Summer","","3.38","3.79","4.31","","","11.76","12.23","14.35","","","3476.00","3224.00","3331.00",""
"Cereals","Odisha","Total","41.51","42.42","42.79","40.29","37.79","96.44","85.78","88.86","98.81","88.22","2323.00","2022.00","2077.00","2452.00","2334.00"
"Cereals","Puducherry","Kharif","0.04","0.04","0.04","0.03","","0.13","0.14","0.13","0.09","","2943.00","3290.00","3137.00","2776.00",""
"Cereals","Puducherry","Rabi","0.15","0.10","0.10","0.09","","0.44","0.32","0.32","0.23","","2992.00","3137.00","3139.00","2520.00",""
"Cereals","Puducherry","Summer","","0.05","0.05","0.05","","","0.19","0.16","0.15","","","3635.00","3112.00","3218.00",""
"Cereals","Puducherry","Total","0.19","0.20","0.20","0.17","","0.57","0.66","0.62","0.48","","2981.00","3300.00","3131.00","2763.00",""
"Cereals","Punjab","Kharif","30.75","31.92","32.74","33.31","33.44","133.00","134.01","147.19","147.32","140.65","4325.00","4198.00","4495.00","4423.00","4206.00"
"Cereals","Punjab","Rabi","35.30","35.40","35.21","35.17","","148.77","168.02","177.56","180.12","","4214.00","4747.00","5043.00","5121.00",""
"Cereals","Punjab","Total","66.05","67.32","67.95","68.47","33.44","281.77","302.03","324.75","327.44","140.65","4266.00","4487.00","4779.00","4782.00","4206.00"
"Cereals","Rajasthan","Kharif","54.95","63.60","59.00","63.22","61.87","67.14","83.00","76.49","88.98","85.21","1222.00","1305.00","1297.00","1408.00","1377.00"
"Cereals","Rajasthan","Rabi","27.96","31.41","30.41","35.34","","108.96","118.49","108.42","126.97","","3897.00","3773.00","3565.00","3592.00",""
"Cereals","Rajasthan","Summer","","0.27","0.31","0.30","","","0.43","0.46","0.48","","","1590.00","1470.00","1598.00",""
"Cereals","Rajasthan","Total","82.91","95.28","89.72","98.86","61.87","176.10","201.92","185.37","216.44","85.21","2124.00","2119.00","2066.00","2189.00","1377.00"
"Cereals","Sikkim","Kharif","0.49","0.46","0.38","0.38","","0.86","0.78","0.63","0.63","","1758.00","1685.00","1664.00","1664.00",""
"Cereals","Sikkim","Rabi","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","1155.00","1170.00","1175.00","1175.00",""
"Cereals","Sikkim","Total","0.49","0.46","0.38","0.38","","0.86","0.78","0.63","0.63","","1757.00","1681.00","1660.00","1660.00",""
"Cereals","Tamil Nadu","Kharif","25.68","11.99","12.05","11.73","12.21","92.74","47.03","43.75","41.90","47.77","3611.00","3924.00","3630.00","3572.00","3914.00"
"Cereals","Tamil Nadu","Rabi","6.04","16.38","15.54","16.60","","22.25","55.42","48.73","52.81","","3686.00","3383.00","3135.00","3182.00",""
"Cereals","Tamil Nadu","Summer","","2.39","2.93","2.89","","","9.33","10.67","10.92","","","3906.00","3644.00","3782.00",""
"Cereals","Tamil Nadu","Total","31.72","30.75","30.52","31.21","12.21","114.99","111.77","103.14","105.63","47.77","3625.00","3634.00","3379.00","3384.00","3914.00"
"Cereals","Telangana","Kharif","26.83","28.12","28.07","27.25","29.43","91.67","100.53","103.10","100.98","108.01","3417.00","3576.00","3673.00","3705.00","3670.00"
"Cereals","Telangana","Rabi","14.65","24.42","24.86","28.41","","56.06","88.25","96.05","111.38","","3826.00","3614.00","3864.00","3921.00",""
"Cereals","Telangana","Total","41.48","52.53","52.93","55.66","29.43","147.73","188.78","199.15","212.36","108.01","3561.00","3594.00","3762.00","3815.00","3670.00"
"Cereals","Tripura","Kharif","2.07","1.91","1.91","1.74","","6.14","6.00","6.00","5.14","","2964.00","3133.00","3133.00","2950.00",""
"Cereals","Tripura","Rabi","0.70","0.66","0.66","0.66","","2.39","2.25","2.25","2.33","","3409.00","3397.00","3397.00","3533.00",""
"Cereals","Tripura","Total","2.77","2.58","2.58","2.40","","8.53","8.24","8.24","7.47","","3077.00","3200.00","3200.00","3110.00",""
"Cereals","Uttar Pradesh","Kharif","74.50","78.54","79.19","85.80","86.65","188.76","201.85","203.96","229.94","229.90","2534.00","2570.00","2576.00","2680.00","2653.00"
"Cereals","Uttar Pradesh","Rabi","96.68","97.22","97.17","98.06","","346.93","342.31","358.56","362.30","","3588.00","3521.00","3690.00","3695.00",""
"Cereals","Uttar Pradesh","Summer","","0.81","2.86","6.53","","","2.51","9.20","19.94","","","3100.00","3215.00","3054.00",""
"Cereals","Uttar Pradesh","Total","171.18","176.56","179.22","190.39","86.65","535.68","546.66","571.71","612.17","229.90","3129.00","3096.00","3190.00","3215.00","2653.00"
"Cereals","Uttarakhand","Kharif","3.87","3.59","3.47","3.31","3.12","8.77","7.72","7.71","7.60","6.91","2266.00","2149.00","2225.00","2296.00","2212.00"
"Cereals","Uttarakhand","Rabi","3.42","3.05","2.86","2.73","","9.84","8.59","8.94","8.77","","2877.00","2818.00","3123.00","3214.00",""
"Cereals","Uttarakhand","Summer","","0.22","0.23","0.09","","","0.79","0.83","0.33","","","3518.00","3565.00","3801.00",""
"Cereals","Uttarakhand","Total","7.29","6.86","6.56","6.12","3.12","18.61","17.10","17.48","16.69","6.91","2553.00","2491.00","2664.00","2726.00","2212.00"
"Cereals","West Bengal","Kharif","43.44","38.27","38.67","42.70","43.10","123.71","109.75","111.54","111.66","119.85","2848.00","2868.00","2885.00","2615.00","2781.00"
"Cereals","West Bengal","Rabi","18.30","3.48","3.90","3.87","","75.47","16.02","19.70","20.20","","4123.00","4607.00","5049.00","5226.00",""
"Cereals","West Bengal","Summer","","14.39","14.52","15.29","","","57.47","57.67","62.43","","","3994.00","3971.00","4084.00",""
"Cereals","West Bengal","Total","61.75","56.13","57.09","61.85","43.10","199.18","183.24","188.91","194.29","119.85","3226.00","3264.00","3309.00","3141.00","2781.00"
"Cereals","Others","Kharif","","","","","16.16","","","","","34.51","","","","","2136.00"
"Cereals","Others","Total","","","","","16.16","","","","","34.51","","","","","2136.00"
"Cereals","All India","Kharif","587.77","586.01","590.13","619.10","632.80","1471.29","1480.90","1487.94","1617.28","1659.18","2503.00","2527.00","2521.00","2612.00","2622.00"
"Cereals","All India","Rabi","406.60","406.77","413.72","431.83","","1411.85","1414.82","1448.09","1539.33","","3472.00","3478.00","3500.00","3565.00",""
"Cereals","All India","Summer","","40.24","42.13","47.33","","","140.56","144.50","163.88","","","3493.00","3429.00","3462.00",""
"Cereals","All India","Total","994.37","1033.03","1045.99","1098.26","632.80","2883.14","3036.28","3080.52","3320.50","1659.18","2899.00","2939.00","2945.00","3023.00","2622.00"
"Tur","Andaman And Nicobar Islands","Kharif","0.00","0.00","0.00","","","0.00","0.00","0.00","","","100.00","300.00","810.00","",""
"Tur","Andaman And Nicobar Islands","Total","0.00","0.00","0.00","","","0.00","0.00","0.00","","","100.00","300.00","810.00","",""
"Tur","Andhra Pradesh","Kharif","2.51","2.42","2.33","3.72","2.91","0.68","0.78","0.96","1.77","1.17","271.00","323.00","413.00","475.00","401.00"
"Tur","Andhra Pradesh","Total","2.51","2.42","2.33","3.72","2.91","0.68","0.78","0.96","1.77","1.17","271.00","323.00","413.00","475.00","401.00"
"Tur","Arunachal Pradesh","Kharif","0.01","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","879.00","889.00","891.00","893.00",""
"Tur","Arunachal Pradesh","Total","0.01","0.01","0.01","0.01","","0.01","0.01","0.01","0.01","","879.00","889.00","891.00","893.00",""
"Tur","Assam","Kharif","0.06","0.06","0.06","0.06","0.03","0.05","0.05","0.05","0.05","0.03","858.00","865.00","860.00","865.00","863.00"
"Tur","Assam","Total","0.06","0.06","0.06","0.06","0.03","0.05","0.05","0.05","0.05","0.03","858.00","865.00","860.00","865.00","863.00"
"Tur","Bihar","Kharif","0.13","0.13","0.14","0.12","0.13","0.21","0.24","0.23","0.19","0.12","1607.00","1869.00","1688.00","1558.00","964.00"
"Tur","Bihar","Total","0.13","0.13","0.14","0.12","0.13","0.21","0.24","0.23","0.19","0.12","1607.00","1869.00","1688.00","1558.00","964.00"
"Tur","Chandigarh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Chandigarh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Chhattisgarh","Kharif","0.43","0.40","0.35","0.33","0.35","0.25","0.28","0.21","0.20","0.21","574.00","691.00","595.00","595.00","616.00"
"Tur","Chhattisgarh","Total","0.43","0.40","0.35","0.33","0.35","0.25","0.28","0.21","0.20","0.21","574.00","691.00","595.00","595.00","616.00"
"Tur","Dadra And Nagar Haveli","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Dadra And Nagar Haveli","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Daman And Diu","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Daman And Diu","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Tur","Delhi","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
